time,cumulative confirmed cases - run_1,cumulative total cases - run_1,cumulative confirmed cases - run_2,cumulative total cases - run_2,cumulative confirmed cases - run_3,cumulative total cases - run_3,cumulative confirmed cases - run_4,cumulative total cases - run_4,cumulative confirmed cases - run_5,cumulative total cases - run_5,cumulative confirmed cases - run_6,cumulative total cases - run_6,cumulative confirmed cases - run_7,cumulative total cases - run_7,cumulative confirmed cases - run_8,cumulative total cases - run_8,cumulative confirmed cases - run_9,cumulative total cases - run_9,cumulative confirmed cases - run_10,cumulative total cases - run_10,cumulative confirmed cases - run_11,cumulative total cases - run_11,cumulative confirmed cases - run_12,cumulative total cases - run_12,cumulative confirmed cases - run_13,cumulative total cases - run_13,cumulative confirmed cases - run_14,cumulative total cases - run_14,cumulative confirmed cases - run_15,cumulative total cases - run_15,cumulative confirmed cases - run_16,cumulative total cases - run_16,cumulative confirmed cases - run_17,cumulative total cases - run_17,cumulative confirmed cases - run_18,cumulative total cases - run_18,cumulative confirmed cases - run_19,cumulative total cases - run_19,cumulative confirmed cases - run_20,cumulative total cases - run_20,cumulative confirmed cases - run_21,cumulative total cases - run_21,cumulative confirmed cases - run_22,cumulative total cases - run_22,cumulative confirmed cases - run_23,cumulative total cases - run_23,cumulative confirmed cases - run_24,cumulative total cases - run_24,cumulative confirmed cases - run_25,cumulative total cases - run_25,cumulative confirmed cases - run_26,cumulative total cases - run_26,cumulative confirmed cases - run_27,cumulative total cases - run_27,cumulative confirmed cases - run_28,cumulative total cases - run_28,cumulative confirmed cases - run_29,cumulative total cases - run_29,cumulative confirmed cases - run_30,cumulative total cases - run_30,cumulative confirmed cases - run_31,cumulative total cases - run_31,cumulative confirmed cases - run_32,cumulative total cases - run_32,cumulative confirmed cases - run_33,cumulative total cases - run_33,cumulative confirmed cases - run_34,cumulative total cases - run_34,cumulative confirmed cases - run_35,cumulative total cases - run_35,cumulative confirmed cases - run_36,cumulative total cases - run_36,cumulative confirmed cases - run_37,cumulative total cases - run_37
0.0,1.0,137.05171670660377,1.0,129.01513275052912,1.0,69.26797005226973,1.0,21.91656755205259,1.0,77.98209593515861,2.411346302858781,40.0,1.0,76.55765927234313,1.0,149.62705150571185,2.0,76.7274163047789,3.0,30.935156676225503,2.0,77.37592750336322,2.0,51.191526265751634,2.0,147.08959973010167,2.216074157178632,38.0,1.0,2.408623108403578,1.0,143.6994319152846,1.0000000000000002,48.88006715987386,1.0000000000000002,71.8875681937929,1.0,53.07008326199933,1.0,83.39582418714701,1.0,116.08097452939683,2.0,38.096451465639035,2.0,44.53952871857268,1.0,21.23583403109442,1.0,156.31995609847593,1.148350937129138,86.0,2.0,73.55484553410855,1.0,86.39138155584254,1.0,93.54848716531922,2.0,17.683616501977866,1.0,11.14885792263545,3.0,140.92865684125343,2.0,74.89702834777927,2.0,31.16197373960928,0.9999999999999996,111.3803612395617,1.0000000000000002,46.99773325314375,1.0,37.87153685138564
1.0,3.0,207.51097475491338,1.0,198.2714655995635,0.47489209215592965,98.0,0.22617913657999722,26.0,0.0,116.46720163662599,0.6197903075831528,55.0,1.0,152.02367650290995,2.0,222.9024181030236,2.0,100.59029868145228,0.7566018679020918,49.0,0.0,115.24822466339583,1.0,62.247242884629316,3.6351958672001654,223.0,0.10854831414808341,56.0,8.881784197001252e-16,5.96612657532739,1.0,163.7481023967175,0.0,54.70498406060301,0.0,75.21943916800723,0.09707873121541377,55.00000000000003,0.08576967707764149,119.0,0.0,180.46890984993252,0.0,59.58329236228653,1.0,68.65111633948669,0.0,38.24437214201728,2.1010094899604947,210.0,0.0,119.25969908281337,2.000000000000001,125.03206815741589,1.2956060256229947,113.0,3.0,191.45917789785028,0.0,24.885832854354277,8.881784197001252e-16,26.781962998977377,1.9999999999999991,170.8969102147862,0.9140104275154259,109.0,4.440892098500626e-16,32.03288338274774,1.0266432297300634,206.0000000000001,2.0,53.659891056276706,1.0,35.727064106583555
2.0,51.0,222.116440570828,55.91095498989583,187.7285344004365,30.51586040065558,93.0,10.50006559272651,31.0,29.0,111.78750609687779,17.380209692416848,63.31031706694051,44.04274060208384,129.97632349709005,74.0,235.72483034420134,36.0,144.64952445103427,17.243398132097912,46.25060614863742,30.017022867915728,113.75177533660417,13.0,73.7421182640852,78.36480413279983,250.069891302943,7.891451685851917,71.78307278841064,2.0,12.109720054772122,58.0,188.49467670757008,21.0,56.93798295731074,18.0,80.94508241241874,15.90292126878459,76.63566642171494,29.914230322922364,137.5367908227007,48.00000000000001,157.9920936286287,13.0,69.64030440507364,21.0,72.85247267588187,8.0,29.48625468921071,77.89899051003952,234.64753118499198,34.0,90.74379193656648,31.94709259869383,115.96793184258411,33.704393974377005,112.36128788872014,51.0,170.77097510937813,5.0,20.597827112237724,6.999999999999999,21.096704229404907,70.0,190.58296683016476,34.08598957248457,116.25988757697263,15.0,46.905695719543274,61.97335677026994,225.86135792605853,21.0,57.278226705091356,11.0,39.00764545278042
3.0,45.999999999999986,296.3493833400146,38.089045010104186,210.21733468178297,23.694173157087725,89.0,6.273755270693492,31.253627829455752,21.000000000000014,136.68145030333676,11.974080530287594,68.68968293305949,33.95725939791616,192.21062676918518,55.0,297.3357837301937,27.0,151.69852325198156,7.868474361648108,45.74939385136258,13.98297713208428,159.8285331706519,17.0,85.45142174200856,46.00000000000003,320.9644668740291,10.0,75.34648362544968,0.6069356106174926,3.9241533699004876,49.000000000000014,295.346529154295,15.0,63.183044594437206,20.0,111.1057006517604,15.999999999999996,55.03322001435345,34.99999999999999,138.40654560188852,40.99999999999999,205.3112267086533,18.0,80.57362609749447,16.0,105.22543737360184,5.0,38.68921596060281,64.94975328485602,289.352468815008,30.610849061062723,116.99650898062015,30.05290740130617,135.46469980229278,27.0,154.73335544765604,40.0,214.11566846090193,7.0,26.572327431021336,4.000000000000002,33.73258055331726,57.0,289.18684878545685,28.000000000000014,134.71685127934603,9.456856817859006,46.061420897708985,45.000000000000014,265.4451279908492,12.0,98.09928554539556,13.0,55.2845646975083
4.0,70.00000000000004,369.71378682115096,49.999999999999986,240.56450056860706,23.315074350100765,120.93980856530277,8.0,31.40679049823143,19.999999999999986,121.11704086546524,14.025919469712406,66.98379652314458,38.0,186.61908419746987,61.0,385.21033282834856,28.0,173.05630820229976,12.042629194305903,62.0,23.999999999999993,140.9539441973351,17.0,101.48250323485382,75.99999999999997,362.2918087382841,10.0,76.6938381683247,3.3930643893825065,9.65923314128338,58.999999999999986,275.37169285492064,13.000000000000007,79.61976381449131,28.0,117.13156864497364,15.0,72.22006875448614,26.0,158.4752086536348,40.0,187.9492342200897,14.000000000000007,73.40485082564584,15.0,105.33820945232833,9.0,35.2134647899376,54.05024671514397,356.8149904983677,27.389150938937277,116.87583367250795,22.0,164.79416816213245,23.0,190.60897055702355,44.00000000000003,240.38620622776068,8.0,23.68890484776773,1.9999999999999982,30.348059944937262,58.0,339.0465682511199,18.999999999999986,128.11979083169058,2.5431431821409944,61.496667188960714,45.999999999999986,320.9025011052622,18.0,82.51119847247509,18.000000000000007,51.91994639661499
5.0,72.99999999999997,413.95139469088895,62.0,247.5443441399225,29.000000000000014,116.93133647231184,10.778888667544074,38.33958167231282,34.59625446676526,138.94680109769422,28.0,76.86854573518946,44.0,232.32551194102598,82.31204283586715,417.8266349942328,41.0,154.07019044071478,13.088896444045986,53.56747802384348,43.999999999999986,171.3404739222675,18.999999999999986,97.15329916840852,76.71914798430043,405.6738330847438,22.63056590995967,75.17660541781493,2.0,6.331872509737103,53.0,284.70517426638366,20.393441478980286,66.55422457315774,24.0,106.09321216226101,20.0,60.6324856640469,32.0,169.33176854742783,53.0,191.98094271808532,14.999999999999993,70.43267687574581,22.000000000000014,127.76443169803872,12.369183160270211,39.36669241823162,84.59114554557004,361.1850095016323,37.0,127.53562946805823,36.0,169.51656463070253,45.49992888485946,199.29638610660027,62.0,301.7061348931343,4.0,35.67512349373919,10.000000000000004,38.998850045477695,70.0,333.85759803069595,35.0,142.56840185279725,18.000000000000007,44.56335199516445,74.0,355.83807528018315,18.0,101.9159740852237,21.999999999999993,52.023026340829006
6.0,88.0,412.6853013900152,78.0,228.20113109503382,37.71216292743837,103.12885496238539,8.221111332455926,44.881171327396146,53.33284993488323,104.00000000000011,22.0,56.631765564451484,54.67450811767654,211.84477709231896,105.68795716413291,368.10504180324324,42.0,163.78093757566614,16.000000000000014,50.4317454033241,36.000000000000014,148.6479833055472,31.000000000000014,98.31076677302678,100.28085201569957,430.0195896385676,27.36943409004033,81.039229684335,3.0,7.322106281243215,92.0,304.3203776164755,27.449179840136196,66.0,31.76037937383657,95.50499696057898,29.0,62.694943497548934,45.0,150.28166816415046,56.99999999999997,185.65018398247707,29.0,77.52581677444294,33.999999999999986,107.26404118524772,9.83506466768732,39.00000000000003,101.40885445442996,346.2163974089526,36.0,128.8204032070928,48.0,185.97669095679498,48.50007111514054,196.27326987953847,80.99999999999997,276.29316808366025,12.0,23.86573493076486,11.440003086567355,24.041842227885496,71.96901045656983,349.4291078877759,55.99999999999997,117.34146598774066,17.999999999999993,34.70309316641226,107.0,326.73762802150736,32.0,93.79516428060151,18.188534403153753,45.03775300568378
7.0,133.0,336.83916209896415,103.00000000000006,199.54477122673075,50.28783707256164,85.63994429067952,12.636086512909365,26.11882867260391,52.07089559835151,83.96374056628349,26.000000000000014,51.131893918390915,82.32549188232346,165.6141247762107,119.99999999999994,319.57475517623106,65.0,144.90266453162553,16.999999999999986,53.69678568228318,51.0,109.72669091459079,35.00000000000003,94.49322783953437,99.0,341.8694703186261,36.75192909435738,57.96077031566506,4.870718741259822,5.686788067736302,120.00000000000006,245.04141295019394,23.15737868088351,67.1640403108621,45.23962062616343,92.55615518998854,26.0,64.91240786262756,51.21200107776269,116.96801821019767,74.00000000000009,166.2312840952129,25.48094614822371,55.83943265931077,47.7586155666915,109.90429127541506,19.79575217204247,32.186127097541885,126.0,272.61565342298263,59.0,115.40331077004657,66.8336397228201,152.24787644807725,70.0,162.78373494191828,95.0,239.87346122963595,13.0,19.377434902793,9.559996913432641,33.7071368141701,114.03098954343017,305.611225153581,57.87885679390527,107.99360247145285,18.497683105039044,40.236887649462574,112.0,281.8673531315121,33.0,94.18275537587431,25.603167795315755,43.0
8.0,142.0,332.4868330838226,107.99999999999994,211.25914606923857,50.99999999999997,110.68126256595497,22.363913487090635,35.690703406279226,55.0,126.25789233616865,30.737903877130393,59.38399825882357,81.0,156.56642620429852,151.0,307.97038017521527,73.19579604072226,143.25155286522545,24.0,49.72694743719683,67.14913275173461,129.50237448960752,32.99999999999997,91.83806071115748,172.6466227887795,339.1109400428063,42.24807090564259,77.88752983982533,3.129281258740182,1.8632451448327885,132.67923545376033,225.97203405344362,35.0,61.32838485798948,48.0,102.86871220701357,35.0,60.37506701076438,80.01723597846876,148.0,95.99999999999989,151.33065660696798,35.51905385177629,70.58998441748531,51.64630358343044,84.99999999999977,17.347834622335455,40.81387290245806,144.0,289.75503456692377,45.60909141683567,119.36482288229445,74.16636027717996,139.94184680007015,79.05385285288395,154.94299517854324,101.0,226.8659225748986,12.0,20.568572410720606,16.0,21.069782333665216,129.88249619609053,279.38877484641944,64.12114320609476,106.5602605234294,17.502316894960956,36.41068628815532,133.32601558388558,277.3479565446273,44.003083960562435,87.55750447906178,18.81449231398541,56.99999999999994
9.0,167.1012911625802,349.3467232494022,120.0,196.23104527572332,64.0,92.16529259249137,13.000000000000014,36.37568267955908,76.598661225564,123.77836709754774,46.09832542381619,63.0,96.00000000000006,163.84505709007794,172.0,312.87416045799955,84.80420395927774,132.50288984345298,32.00000000000003,49.33342825927775,79.85086724826539,144.71679254996616,55.0,99.21781623059098,187.3533772112205,367.5900372147007,37.00000000000003,80.65096491881945,0.9999999999999964,11.286055177826796,131.32076454623962,265.4718995916255,36.0,54.682318316600345,53.95041850803267,98.57513260299788,43.0,63.631164998003214,67.74030584392995,124.0,103.00000000000006,164.63931008799,45.0,57.64754963420421,52.25698879816173,89.0,23.61769298069038,26.0,172.0,318.7745033737674,60.223875098461235,119.0,86.73373167224236,150.05815319992985,90.57729462577271,154.0,110.00000000000011,293.5454642793338,12.0,21.468215086622934,15.0,26.144953325718177,157.42366235484963,321.0,76.67229599122908,109.4397394765706,30.0,45.01177450310189,138.4639778147041,290.0,45.0764876591314,97.0,22.39380548754508,46.281543599518955
